bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,tags
20076,Maelstrom,Anne-McCaffrey/Elizabeth-Ann-Scarborough,3.88,0345470044,9780345470041,eng,237,1088,37,1/31/2007,Del-Rey-Books,20076 maelstrom anne-mccaffrey/elizabeth-ann-scarborough 3.88 0345470044 9780345470041 eng 237 1088 37 1/31/2007 del-rey-books
20086,The-Mark-of-the-Crown-(Star-Wars:-Jedi-Apprentice--#4),Jude-Watson,3.73,0590519344,9780590519342,eng,131,2319,63,10/1/1999,Scholastic-Inc.,20086 the-mark-of-the-crown-(star-wars:-jedi-apprentice--#4) jude-watson 3.73 0590519344 9780590519342 eng 131 2319 63 10/1/1999 scholastic-inc.
20097,The-Sea,John-Banville/John------Lee,3.51,0739333771,9780739333778,eng,0,42,12,8/15/2006,Random-House-Audio,20097 the-sea john-banville/john------lee 3.51 0739333771 9780739333778 eng 0 42 12 8/15/2006 random-house-audio
20117,Joy-Within,Joan-Goldstein/Manuela-Soares,4.38,0671763792,9780671763794,en-US,144,8,3,11/15/1990,Simon--Schuster,20117 joy-within joan-goldstein/manuela-soares 4.38 0671763792 9780671763794 en-us 144 8 3 11/15/1990 simon--schuster
20118,Butch/Femme,Manuela-Soares/Judy-Grahn/Nisa-Donnelly,3.62,0517702223,9780517702222,eng,64,13,1,4/4/1996,Crown-Publishing-Group-(NY),20118 butch/femme manuela-soares/judy-grahn/nisa-donnelly 3.62 0517702223 9780517702222 eng 64 13 1 4/4/1996 crown-publishing-group-(ny)
20126,Expository-Writing:-Mini-Lessons-*-Strategies-*-Activities,Tara-McCarthy/Drew-Hires/Jaime-Lucero/Vincent-Ceci,4.33,0590103873,9780590103879,eng,88,3,0,4/1/1998,Teaching-Resources,20126 expository-writing:-mini-lessons-*-strategies-*-activities tara-mccarthy/drew-hires/jaime-lucero/vincent-ceci 4.33 0590103873 9780590103879 eng 88 3 0 4/1/1998 teaching-resources
20127,Persuasive-Writing:-Mini-Lessons--Strategies--Activities,Tara-MacCarthy/Drew-Hires,3.2,0590209345,9780590209342,eng,64,5,1,8/1/1998,Scholastic,20127 persuasive-writing:-mini-lessons--strategies--activities tara-maccarthy/drew-hires 3.2 0590209345 9780590209342 eng 64 5 1 8/1/1998 scholastic
20157,McDougal-Littell-Science:-Student-Edition-Grade-6-Earth-Science-2006,McDougal-Littell/Douglas-W.-Carnine,2.0,0618615385,9780618615384,eng,972,3,0,4/12/2005,McDougal-Littel,20157 mcdougal-littell-science:-student-edition-grade-6-earth-science-2006 mcdougal-littell/douglas-w.-carnine 2.0 0618615385 9780618615384 eng 972 3 0 4/12/2005 mcdougal-littel
20164,Daisy-Bates:-Civil-Rights-Crusader-from-Arkansas,Grif-Stockley,3.55,1578068010,9781578068012,eng,340,11,3,10/18/2005,University-Press-of-Mississippi,20164 daisy-bates:-civil-rights-crusader-from-arkansas grif-stockley 3.55 1578068010 9781578068012 eng 340 11 3 10/18/2005 university-press-of-mississippi
20174,The-Loftier-Way:-Tales-from-the-Ancient-American-Frontier,Blaine-M.-Yorgason/Brenton-G.-Yorgason,3.78,087747785X,9780877477853,eng,131,9,2,12/28/1985,Deseret-Book-Company,20174 the-loftier-way:-tales-from-the-ancient-american-frontier blaine-m.-yorgason/brenton-g.-yorgason 3.78 087747785x 9780877477853 eng 131 9 2 12/28/1985 deseret-book-company
20179,A-Higher-Justice-(The-Trials-of-Kit-Shannon-#5),James-Scott-Bell,4.26,0764226460,9780764226465,eng,303,175,18,9/1/2003,Bethany-House-Publishers,20179 a-higher-justice-(the-trials-of-kit-shannon-#5) james-scott-bell 4.26 0764226460 9780764226465 eng 303 175 18 9/1/2003 bethany-house-publishers
20181,Plot-&-Structure:-Techniques-and-Exercises-for-Crafting-a-Plot-That-Grips-Readers-from-Start-to-Finish,James-Scott-Bell,4.1,158297294X,9781582972947,eng,234,4480,439,10/6/2004,Writer's-Digest-Books,20181 plot-&-structure:-techniques-and-exercises-for-crafting-a-plot-that-grips-readers-from-start-to-finish james-scott-bell 4.1 158297294x 9781582972947 eng 234 4480 439 10/6/2004 writer's-digest-books
20182,Deadlock,James-Scott-Bell,3.96,0310243882,9780310243885,eng,319,327,20,10/6/2002,Zondervan,20182 deadlock james-scott-bell 3.96 0310243882 9780310243885 eng 319 327 20 10/6/2002 zondervan
20183,Breach-of-Promise,James-Scott-Bell,4.0,0310243874,9780310243878,eng,345,368,36,2/15/2004,Zondervan,20183 breach-of-promise james-scott-bell 4.0 0310243874 9780310243878 eng 345 368 36 2/15/2004 zondervan
20219,Keats's-Poetry-and-Prose,John-Keats/Jeffrey-N.-Cox,4.3,0393924912,9780393924916,eng,673,291,10,8/1/2008,W.-W.-Norton-&-Company,20219 keats's-poetry-and-prose john-keats/jeffrey-n.-cox 4.3 0393924912 9780393924916 eng 673 291 10 8/1/2008 w.-w.-norton-&-company
20233,A-False-Mirror-(Inspector-Ian-Rutledge--#9),Charles-Todd,4.02,0060786736,9780060786731,eng,384,2519,225,1/9/2007,William-Morrow,20233 a-false-mirror-(inspector-ian-rutledge--#9) charles-todd 4.02 0060786736 9780060786731 eng 384 2519 225 1/9/2007 william-morrow
